,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
1302,56,blue-collar,385,no,no,cellular,aug,3,-1,other,0
2188,54,unemployed,1851,no,no,unknown,jun,3,-1,other,0
2676,42,technician,1189,no,no,unknown,jun,3,-1,other,0
4658,35,admin,-32,no,yes,cellular,feb,4,182,failure,1
5262,51,blue-collar,-637,yes,yes,cellular,nov,2,-1,other,0
2931,54,admin,976,yes,no,unknown,jun,3,-1,other,0
7500,33,management,1271,yes,no,cellular,apr,3,330,failure,1
2263,53,management,380,no,yes,cellular,jun,2,-1,other,1
7417,29,management,698,no,no,cellular,feb,1,-1,other,0
3499,31,unemployed,3,no,no,cellular,jul,2,-1,other,0
6244,50,management,400,no,no,cellular,aug,2,-1,other,0
916,43,technician,0,no,yes,cellular,may,2,172,failure,0
3686,57,blue-collar,3495,no,yes,cellular,nov,3,-1,other,0
3083,37,management,-491,yes,no,cellular,feb,2,-1,other,0
5453,29,technician,316,yes,no,cellular,mar,1,-1,other,1
6705,42,technician,9324,no,no,cellular,aug,4,-1,other,0
6751,43,admin,733,yes,no,cellular,aug,1,88,success,1
4227,40,admin,1395,yes,yes,cellular,jul,2,-1,other,0
4948,33,technician,370,yes,no,cellular,aug,4,-1,other,0
4529,29,blue-collar,98,no,no,cellular,aug,2,-1,other,0
2818,43,technician,4056,no,no,cellular,may,6,89,failure,0
6144,34,management,133,yes,no,unknown,may,1,-1,other,0
6463,34,technician,161,no,yes,cellular,aug,2,-1,other,0
793,49,technician,788,no,no,unknown,jun,7,-1,other,0
408,28,admin,762,no,no,cellular,sep,3,-1,other,1
2761,32,technician,-300,no,no,cellular,aug,9,-1,other,0
768,53,services,778,yes,no,cellular,apr,2,-1,other,0
2940,40,entrepreneur,2998,yes,no,cellular,jul,3,-1,other,1
4938,44,management,284,yes,yes,cellular,jul,5,-1,other,0
2666,26,blue-collar,-29,yes,no,cellular,jul,4,-1,other,1
1979,47,blue-collar,162,no,no,cellular,aug,3,-1,other,1
5005,30,technician,655,no,no,cellular,apr,1,202,success,1
1233,43,services,5571,no,no,unknown,jun,1,-1,other,0
1538,33,technician,8023,no,no,cellular,nov,1,105,failure,0
744,38,services,-762,yes,yes,unknown,may,2,-1,other,0
5888,29,entrepreneur,714,yes,yes,cellular,may,2,-1,other,1
3310,30,management,536,no,no,cellular,oct,1,105,success,1
6502,42,technician,275,no,no,cellular,aug,8,-1,other,0
2777,32,blue-collar,634,no,no,cellular,jan,1,-1,other,1
4841,48,blue-collar,456,yes,yes,unknown,may,1,-1,other,0
4084,27,technician,276,no,no,unknown,may,2,-1,other,0
3368,54,management,496,no,no,cellular,jan,3,-1,other,1
5167,45,services,1515,no,no,unknown,jun,4,-1,other,0
2782,33,services,881,yes,no,unknown,may,5,-1,other,0
3326,25,management,493,yes,no,unknown,jun,1,-1,other,0
1893,41,management,25,yes,yes,cellular,mar,2,-1,other,1
2672,35,entrepreneur,2971,no,no,cellular,may,4,164,failure,1
5182,41,entrepreneur,0,no,no,unknown,jun,2,-1,other,0
6816,31,admin,747,yes,no,unknown,may,2,-1,other,1
7311,33,management,1195,yes,no,telephone,may,4,-1,other,0
2228,49,self-employed,-341,no,yes,cellular,nov,2,-1,other,0
5519,54,technician,136,no,yes,cellular,jul,4,-1,other,0
857,57,admin,3551,yes,no,cellular,may,1,-1,other,1
7097,58,blue-collar,73,no,no,unknown,jun,1,-1,other,0
508,30,admin,983,yes,no,cellular,may,2,-1,other,1
643,58,blue-collar,119,yes,yes,cellular,may,1,-1,other,1
4585,31,services,205,yes,no,cellular,apr,1,-1,other,0
1645,49,blue-collar,1730,yes,no,cellular,aug,2,92,success,1
7659,51,blue-collar,21614,no,no,cellular,aug,20,-1,other,0
1314,39,services,2843,yes,no,unknown,jun,1,-1,other,1
7176,41,management,326,yes,no,cellular,may,1,-1,other,1
6053,50,technician,103,yes,no,unknown,may,6,-1,other,0
849,39,management,517,yes,yes,unknown,may,1,-1,other,1
1464,37,admin,0,no,no,unknown,jun,1,-1,other,0
3415,29,admin,266,yes,no,cellular,may,1,-1,other,1
5979,32,management,1966,no,no,cellular,aug,3,-1,other,0
1300,33,management,349,no,no,cellular,aug,1,-1,other,0
7153,35,services,0,yes,no,unknown,jun,2,-1,other,0
7368,44,self-employed,1070,yes,no,cellular,apr,1,160,other,1
2655,35,blue-collar,1160,no,yes,telephone,nov,1,-1,other,0
6288,31,technician,477,no,no,cellular,apr,1,-1,other,0
3771,37,technician,1130,no,no,cellular,feb,1,-1,other,1
3608,56,admin,0,no,yes,cellular,jul,1,-1,other,0
7611,33,technician,0,no,no,cellular,apr,2,-1,other,1
3638,39,management,4314,yes,no,cellular,nov,4,-1,other,0
2549,24,blue-collar,174,yes,yes,cellular,may,1,-1,other,1
4228,31,entrepreneur,159,yes,no,cellular,nov,1,182,failure,0
4171,31,technician,1570,yes,no,cellular,mar,4,286,failure,1
2036,64,services,768,no,no,cellular,jan,1,-1,other,1
6627,43,management,11891,no,no,cellular,dec,5,242,success,1
5370,30,blue-collar,0,yes,no,cellular,jul,2,-1,other,0
3442,41,management,4567,yes,yes,cellular,jul,1,-1,other,0
1685,27,management,1720,no,no,cellular,nov,2,273,failure,1
2975,59,services,0,no,no,cellular,apr,1,332,other,0
500,47,services,311,yes,yes,cellular,may,1,301,failure,0
1045,35,management,837,no,no,cellular,aug,1,-1,other,0
778,36,technician,125,yes,no,cellular,may,3,-1,other,1
6492,47,blue-collar,328,yes,no,cellular,may,1,-1,other,0
7435,43,unemployed,9,yes,yes,cellular,may,1,-1,other,0
1371,38,technician,10596,no,no,cellular,aug,1,197,other,1
3493,33,admin,30,yes,no,telephone,may,2,-1,other,0
7783,42,admin,947,no,no,cellular,jul,2,-1,other,0
4133,38,management,327,yes,yes,cellular,jul,5,-1,other,1
2714,28,admin,136,no,no,cellular,jun,1,-1,other,1
1256,24,unemployed,235,no,no,cellular,feb,1,92,success,1
7610,33,technician,599,yes,no,cellular,aug,2,-1,other,0
6397,45,management,1529,no,no,cellular,jun,1,-1,other,0
4721,62,management,997,no,no,cellular,apr,1,304,success,1
5368,46,management,0,no,no,cellular,aug,2,-1,other,1
6945,32,technician,29,no,no,cellular,aug,2,-1,other,0
760,48,blue-collar,363,yes,no,unknown,jun,6,-1,other,0
4504,41,management,653,yes,no,telephone,nov,2,-1,other,0
558,43,services,21,no,no,cellular,feb,3,-1,other,0
2706,34,technician,4367,no,no,cellular,aug,2,-1,other,0
770,46,admin,556,yes,yes,unknown,may,3,-1,other,1
1007,30,services,1268,yes,no,cellular,apr,4,320,other,1
1255,46,services,5,yes,yes,cellular,jan,2,-1,other,0
4091,36,services,365,no,no,cellular,may,1,-1,other,1
4105,24,services,11,yes,no,unknown,jun,4,-1,other,0
6642,39,services,323,no,no,cellular,jun,2,188,failure,1
2893,27,admin,1595,no,no,cellular,dec,2,197,success,1
5311,37,entrepreneur,8,yes,yes,cellular,jul,1,-1,other,0
5793,39,admin,2345,yes,no,cellular,may,2,344,failure,1
2317,53,unemployed,582,yes,no,unknown,may,2,-1,other,0
1076,31,admin,-218,yes,no,unknown,jun,15,-1,other,0
3394,40,management,171,no,no,cellular,aug,3,-1,other,0
5367,54,services,9,no,yes,cellular,jul,3,-1,other,0
2539,48,admin,1131,no,yes,cellular,may,1,-1,other,0
4323,38,technician,-242,yes,no,cellular,may,3,278,success,1
1872,57,management,9103,no,yes,unknown,jun,2,-1,other,1
7785,60,technician,4243,yes,no,cellular,feb,1,251,failure,0
4442,41,entrepreneur,39,yes,no,cellular,nov,2,-1,other,1
6213,41,admin,985,yes,no,cellular,jun,2,391,success,1
5150,32,technician,211,yes,yes,unknown,may,4,-1,other,0
4606,49,blue-collar,1946,no,no,cellular,oct,1,95,success,1
2759,48,services,2850,yes,no,cellular,aug,3,-1,other,0
7307,29,self-employed,242,yes,no,cellular,jul,4,-1,other,0
5660,41,blue-collar,-386,no,yes,cellular,nov,1,-1,other,1
3125,33,management,621,no,no,cellular,aug,5,-1,other,0
911,37,management,698,no,no,cellular,sep,2,-1,other,1
6943,35,admin,321,no,no,cellular,jul,1,412,other,1
7488,30,technician,2734,no,no,cellular,nov,3,-1,other,1
5806,41,self-employed,4418,yes,no,cellular,nov,3,-1,other,0
2305,50,unemployed,3357,no,no,cellular,jun,4,-1,other,1
592,50,management,398,no,no,telephone,jul,5,-1,other,0
2879,48,admin,1060,yes,no,cellular,apr,2,318,failure,0
1154,27,technician,501,no,yes,telephone,jan,4,-1,other,0
448,41,unemployed,-233,yes,no,unknown,may,2,-1,other,1
6281,57,technician,96,no,no,cellular,aug,4,-1,other,1
3217,31,admin,879,yes,no,cellular,may,1,-1,other,1
7168,49,blue-collar,1032,yes,no,unknown,jun,5,-1,other,0
1714,37,management,1027,yes,no,cellular,mar,1,152,success,1
1286,24,admin,0,yes,no,cellular,apr,1,-1,other,0
218,31,technician,200,no,no,cellular,aug,2,-1,other,0
4810,33,services,1529,yes,no,telephone,nov,1,-1,other,0
994,49,management,735,yes,no,unknown,may,3,-1,other,0
3935,31,services,997,yes,no,cellular,feb,1,190,failure,0
7237,33,management,23,no,no,cellular,aug,3,-1,other,0
1819,67,unemployed,203,no,no,cellular,oct,1,266,success,1
5189,35,services,1279,yes,no,unknown,jun,5,-1,other,0
3545,56,blue-collar,1137,no,no,telephone,jul,1,-1,other,1
7551,55,unemployed,101,yes,no,cellular,jul,1,-1,other,0
6513,34,blue-collar,455,yes,no,unknown,jun,3,-1,other,0
4453,29,admin,500,yes,no,cellular,may,8,-1,other,0
5771,41,entrepreneur,121,yes,no,cellular,may,1,287,failure,0
4486,19,unemployed,134,no,no,cellular,mar,2,-1,other,1
1159,36,blue-collar,7051,no,yes,cellular,jul,13,-1,other,0
2810,48,technician,10655,no,no,telephone,jul,3,-1,other,0
1086,48,blue-collar,237,yes,no,unknown,jun,18,-1,other,0
573,43,unemployed,1854,no,no,cellular,nov,2,197,success,0
7024,60,unemployed,1091,no,no,cellular,jul,5,-1,other,1
2064,46,management,-337,no,yes,cellular,aug,2,-1,other,0
7243,49,technician,3144,no,no,cellular,jul,2,-1,other,0
6073,35,management,724,yes,no,cellular,jul,2,415,failure,1
695,51,self-employed,0,no,no,cellular,oct,2,-1,other,1
4147,57,unemployed,1532,no,no,telephone,feb,3,-1,other,0
6202,37,management,600,yes,no,cellular,nov,2,196,failure,0
5747,59,management,5397,no,no,cellular,sep,1,92,success,1
1004,42,management,478,no,yes,cellular,jul,1,-1,other,0
1575,33,technician,1636,yes,no,cellular,may,1,66,success,1
72,26,unemployed,502,yes,no,telephone,may,1,-1,other,0
4506,56,management,705,no,no,cellular,nov,2,-1,other,0
3205,21,admin,524,no,no,cellular,may,1,-1,other,1
6965,46,admin,659,yes,no,telephone,jul,11,-1,other,1
614,49,blue-collar,-157,yes,no,cellular,jul,3,-1,other,1
1592,60,unemployed,404,no,no,cellular,mar,2,196,failure,1
106,25,management,2228,yes,no,cellular,jul,1,-1,other,1
4374,37,unemployed,4969,yes,no,cellular,may,1,-1,other,0
3571,38,management,690,yes,no,unknown,may,1,-1,other,0
859,30,management,1195,no,no,cellular,jul,2,-1,other,0
7306,53,management,50,yes,no,cellular,may,1,337,failure,1
1270,28,unemployed,-353,yes,no,unknown,may,3,-1,other,0
4353,50,blue-collar,12519,yes,no,cellular,nov,3,34,failure,1
1571,42,technician,1364,yes,no,unknown,may,6,-1,other,1
915,43,services,-177,yes,no,unknown,may,2,-1,other,0
6032,27,management,616,yes,no,cellular,may,1,101,other,1
6104,23,unemployed,1234,no,no,cellular,nov,1,-1,other,1
717,36,technician,301,yes,yes,cellular,jul,1,-1,other,0
2828,38,management,155,yes,no,unknown,jun,26,-1,other,0
6491,32,services,659,yes,no,cellular,apr,6,-1,other,0
2444,38,management,1199,no,no,cellular,aug,1,1,success,1
6848,57,admin,808,no,no,cellular,jul,3,-1,other,0
6516,46,services,2948,no,no,cellular,nov,1,-1,other,1
2527,39,blue-collar,-119,no,no,unknown,jun,6,-1,other,0
3952,30,management,0,no,no,cellular,aug,1,-1,other,0
3931,32,services,-613,yes,no,cellular,apr,2,-1,other,0
7269,46,blue-collar,2348,no,no,cellular,nov,1,-1,other,0
3788,49,management,3237,yes,no,unknown,may,3,-1,other,0
2339,44,management,0,no,no,unknown,may,1,-1,other,0
1182,24,management,507,no,no,cellular,jul,1,-1,other,1
4868,36,technician,962,yes,no,cellular,may,1,-1,other,1
1903,28,self-employed,120,yes,yes,unknown,may,3,-1,other,0
124,35,management,304,yes,no,cellular,nov,2,-1,other,0
3647,44,management,3091,yes,no,unknown,jun,4,-1,other,0
6162,78,unemployed,3417,no,no,cellular,may,1,181,success,1
5846,49,blue-collar,67,no,yes,cellular,aug,4,-1,other,0
7018,32,services,-344,no,yes,cellular,feb,1,-1,other,0
4550,50,technician,2313,no,no,cellular,aug,1,-1,other,1
5365,29,technician,542,yes,no,unknown,may,3,-1,other,0
57,32,technician,2688,no,no,cellular,oct,1,57,failure,1
4450,24,unemployed,597,yes,no,cellular,apr,3,-1,other,1
4170,55,admin,139,no,no,cellular,apr,1,-1,other,1
5086,36,blue-collar,-308,yes,no,cellular,may,1,-1,other,1
3203,31,management,2,no,no,cellular,aug,1,-1,other,1
898,66,unemployed,2048,no,no,cellular,aug,1,-1,other,1
1139,35,admin,76,no,yes,unknown,jun,1,-1,other,0
2028,30,technician,317,yes,no,cellular,jul,5,-1,other,0
663,31,technician,1819,yes,no,unknown,may,2,-1,other,0
2230,29,admin,1070,yes,no,unknown,may,1,357,other,1
6565,26,unemployed,10086,no,no,cellular,apr,2,-1,other,1
3899,36,blue-collar,199,yes,no,cellular,jul,1,-1,other,0
3330,38,services,61,no,no,unknown,jun,1,-1,other,1
3842,46,entrepreneur,0,no,yes,cellular,jul,1,-1,other,0
1278,52,unemployed,94,no,no,cellular,apr,1,-1,other,1
1712,37,technician,127,yes,no,cellular,aug,1,193,success,1
6349,47,unemployed,817,no,no,cellular,apr,4,-1,other,1
6596,24,unemployed,1925,no,no,cellular,aug,1,-1,other,1
3161,52,services,431,no,no,cellular,aug,17,-1,other,0
6351,60,management,366,no,no,cellular,jun,1,-1,other,1
5672,28,technician,981,yes,no,cellular,jul,1,-1,other,0
5061,26,blue-collar,-46,yes,no,unknown,jun,7,-1,other,1
5290,63,unemployed,18016,no,no,cellular,jul,1,-1,other,1
3568,65,unemployed,20806,no,no,telephone,apr,2,-1,other,1
6752,43,blue-collar,318,yes,no,unknown,jun,2,-1,other,1
1542,42,services,1301,yes,no,cellular,jul,6,-1,other,0
811,62,unemployed,569,no,no,cellular,aug,1,1,success,1
7270,29,technician,273,no,no,cellular,feb,2,-1,other,1
3450,40,technician,284,yes,no,cellular,apr,2,-1,other,1
419,24,admin,1295,no,no,cellular,apr,1,-1,other,1
2919,41,admin,124,yes,no,cellular,may,3,-1,other,0
6130,40,blue-collar,475,yes,no,unknown,may,2,-1,other,0
7320,47,technician,545,yes,no,cellular,aug,3,-1,other,0
6373,37,management,792,yes,no,unknown,may,4,-1,other,1
5111,42,technician,49,no,no,cellular,feb,10,-1,other,0
2863,59,services,454,no,no,cellular,aug,1,-1,other,0
6307,29,admin,514,no,no,cellular,feb,1,-1,other,0
4316,35,technician,1354,no,no,cellular,jun,2,-1,other,1
6612,42,management,9916,yes,no,cellular,nov,1,-1,other,0
2133,56,blue-collar,665,yes,no,unknown,jun,2,-1,other,0
1157,36,services,92,yes,no,cellular,jun,7,-1,other,1
55,54,unemployed,349,yes,no,cellular,may,2,175,failure,0
1106,31,technician,147,yes,no,unknown,may,1,-1,other,0
6305,36,management,565,no,no,cellular,mar,1,-1,other,1
1460,46,services,0,no,no,unknown,jun,3,-1,other,1
6475,35,technician,1144,no,no,cellular,aug,13,-1,other,0
7142,30,unemployed,221,no,no,cellular,aug,4,-1,other,0
5803,35,unemployed,295,no,no,unknown,mar,1,-1,other,1
6088,51,services,242,no,yes,cellular,jul,4,-1,other,1
6185,34,technician,174,no,no,telephone,may,4,-1,other,0
7764,21,unemployed,2488,no,no,cellular,oct,1,-1,other,1
4159,30,management,502,no,no,cellular,oct,3,95,success,1
7425,44,admin,-43,yes,yes,cellular,apr,1,-1,other,0
337,32,services,24,yes,yes,cellular,may,1,-1,other,0
7686,20,unemployed,130,no,no,telephone,may,3,-1,other,0
721,30,admin,350,no,yes,cellular,jul,5,-1,other,0
7558,38,technician,1655,no,no,cellular,jul,2,-1,other,0
5958,26,unemployed,0,yes,no,unknown,may,2,-1,other,0
6662,37,blue-collar,-57,yes,yes,cellular,may,5,-1,other,0
4428,52,services,1625,no,no,cellular,aug,2,-1,other,1
2004,42,blue-collar,273,no,no,unknown,jun,1,-1,other,0
5300,34,services,244,no,no,cellular,feb,2,-1,other,0
7321,44,blue-collar,292,no,yes,cellular,jul,4,-1,other,1
146,39,blue-collar,2303,yes,no,unknown,jun,3,-1,other,1
6391,55,admin,-2,no,no,cellular,aug,1,-1,other,0
5374,28,management,6784,no,no,cellular,oct,1,115,other,1
3672,30,services,101,yes,no,cellular,nov,2,-1,other,0
6917,44,technician,2857,no,no,cellular,aug,2,-1,other,0
5939,40,unemployed,1734,yes,no,unknown,jun,4,-1,other,0
5696,50,management,72,no,no,cellular,aug,13,-1,other,0
1048,36,entrepreneur,546,no,no,cellular,feb,3,-1,other,0
4232,34,technician,1539,yes,no,cellular,jun,1,56,other,1
2174,34,management,13014,no,no,cellular,aug,1,-1,other,1
1939,37,unemployed,71,no,yes,cellular,may,1,-1,other,0
2982,57,unemployed,11254,no,no,cellular,jul,2,-1,other,0
4705,52,blue-collar,297,yes,no,unknown,may,1,-1,other,0
512,52,blue-collar,2396,yes,no,cellular,may,7,-1,other,0
1317,47,services,-288,yes,no,unknown,may,7,-1,other,0
6773,32,management,1683,yes,yes,cellular,apr,2,-1,other,0
3802,45,blue-collar,7895,yes,no,cellular,feb,1,-1,other,1
3733,35,management,1380,no,no,cellular,feb,1,-1,other,1
7675,22,unemployed,0,no,no,cellular,feb,6,-1,other,1
2229,29,admin,260,yes,no,cellular,feb,2,273,failure,0
3795,59,unemployed,7724,no,no,cellular,nov,3,-1,other,1
4645,38,admin,1767,yes,no,cellular,jul,4,239,success,1
2371,40,blue-collar,1023,yes,no,cellular,may,5,336,other,0
1339,37,blue-collar,133,yes,no,cellular,may,2,-1,other,1
7504,36,management,9,no,no,cellular,aug,4,-1,other,1
3697,36,technician,-179,yes,no,cellular,jul,1,-1,other,0
6482,30,admin,46,yes,no,unknown,may,2,-1,other,0
3808,35,services,819,yes,no,telephone,jul,14,-1,other,0
6955,42,technician,0,no,no,cellular,jul,2,-1,other,0
3517,32,management,124,no,no,cellular,feb,2,-1,other,0
3249,30,management,134,yes,no,unknown,may,1,-1,other,0
5608,30,admin,265,yes,no,cellular,may,1,181,success,1
2384,28,technician,4987,no,no,cellular,jun,2,113,success,1
5405,57,admin,2223,no,no,cellular,aug,1,-1,other,1
1095,34,management,2633,yes,no,cellular,nov,6,-1,other,1
6985,26,management,667,no,no,telephone,jun,2,-1,other,0
1398,46,blue-collar,640,yes,no,cellular,sep,2,129,failure,1
6026,50,blue-collar,204,yes,yes,unknown,may,1,-1,other,0
3923,34,technician,2047,yes,no,cellular,jul,5,-1,other,0
2441,38,blue-collar,172,yes,no,cellular,apr,1,-1,other,1
6452,24,technician,726,no,no,cellular,sep,2,-1,other,1
4064,49,blue-collar,-232,no,yes,cellular,aug,2,-1,other,0
5758,46,admin,517,yes,no,cellular,may,3,-1,other,0
5482,31,management,924,no,no,cellular,feb,1,-1,other,1
7346,49,blue-collar,399,no,no,cellular,jan,1,-1,other,0
7691,28,management,80,no,no,cellular,oct,2,146,failure,1
2422,38,technician,5115,yes,no,cellular,feb,1,102,success,1
4762,48,blue-collar,1670,no,no,unknown,jun,1,-1,other,0
2189,34,services,1182,yes,no,unknown,may,1,-1,other,0
5195,37,management,565,no,no,cellular,aug,1,93,failure,1
7204,28,blue-collar,3817,yes,no,cellular,may,3,-1,other,0
7763,37,technician,0,yes,no,cellular,jul,6,-1,other,1
2246,45,unemployed,406,no,no,cellular,sep,1,-1,other,1
3273,34,blue-collar,6718,no,no,cellular,jan,4,97,other,0
6648,39,technician,206,no,no,cellular,oct,2,195,success,1
7482,36,technician,3158,yes,no,cellular,jun,2,-1,other,1
3169,33,blue-collar,215,no,no,cellular,apr,1,-1,other,0
4990,32,management,134,no,yes,cellular,aug,2,-1,other,0
4648,28,unemployed,-42,yes,yes,cellular,jul,4,-1,other,0
5199,22,unemployed,254,no,no,cellular,jan,2,-1,other,1
1702,37,technician,-242,yes,no,cellular,aug,6,-1,other,1
7714,41,admin,110,yes,yes,cellular,feb,2,-1,other,0
401,36,services,1189,no,no,cellular,aug,1,-1,other,1
1796,30,technician,2371,no,no,cellular,jun,1,384,other,1
1637,28,management,185,no,no,cellular,jan,2,-1,other,0
185,43,unemployed,860,no,no,telephone,oct,1,-1,other,1
975,39,technician,1270,yes,no,unknown,may,4,-1,other,0
3769,30,technician,120,yes,no,cellular,may,1,-1,other,0
6951,45,services,482,yes,yes,unknown,may,2,-1,other,0
1103,44,management,12,yes,no,cellular,nov,2,-1,other,0
7672,32,management,1271,yes,no,unknown,may,1,-1,other,0
1389,27,management,1720,no,no,cellular,jun,1,224,success,1
6904,86,unemployed,0,no,no,telephone,aug,1,-1,other,1
4162,42,management,0,no,no,cellular,aug,2,-1,other,0
253,55,services,976,no,no,cellular,jun,1,94,other,1
587,50,management,313,no,no,telephone,oct,1,-1,other,1
36,47,management,6651,no,no,cellular,jul,1,412,failure,1
757,37,entrepreneur,310,no,no,cellular,sep,1,-1,other,0
2482,36,services,4721,no,no,cellular,jun,1,92,success,1
3556,33,admin,855,no,no,cellular,apr,1,-1,other,1
4050,47,blue-collar,113,yes,no,unknown,may,1,-1,other,0
6207,48,unemployed,817,no,no,cellular,jul,3,183,success,1
5371,36,blue-collar,638,yes,no,unknown,jun,2,-1,other,1
21,57,management,4929,yes,no,telephone,jul,4,-1,other,0
6376,45,blue-collar,1723,no,no,cellular,jun,2,-1,other,1
1397,36,management,6641,no,no,cellular,jul,4,-1,other,0
5297,36,admin,465,yes,no,unknown,may,1,-1,other,0
2225,46,blue-collar,1568,yes,no,cellular,jun,1,55,other,1
4603,33,blue-collar,370,yes,no,cellular,apr,1,-1,other,0
88,44,management,7177,no,no,unknown,jun,2,-1,other,0
2781,31,management,22867,yes,no,unknown,may,2,-1,other,0
984,35,blue-collar,120,yes,no,unknown,may,2,-1,other,0
6776,51,unemployed,610,no,no,unknown,jun,2,-1,other,0
4384,51,self-employed,5350,yes,yes,cellular,jul,4,-1,other,1
6833,30,unemployed,324,no,no,cellular,aug,4,-1,other,0
5490,30,technician,194,no,yes,cellular,aug,3,-1,other,0
5705,30,unemployed,7529,no,no,cellular,oct,1,-1,other,1
6507,39,blue-collar,1382,yes,no,cellular,feb,2,-1,other,1
2765,46,technician,841,yes,no,unknown,may,1,-1,other,0
2019,42,blue-collar,7735,yes,no,cellular,apr,1,144,failure,0
5742,50,management,201,yes,no,cellular,jul,1,-1,other,0
4920,23,unemployed,0,no,no,cellular,aug,1,-1,other,1
985,30,admin,270,no,no,cellular,apr,1,80,success,1
2412,30,management,233,yes,no,unknown,may,10,-1,other,0
3741,31,unemployed,284,yes,no,cellular,feb,1,-1,other,1
3762,34,services,89,yes,no,cellular,may,4,-1,other,1
6259,49,technician,-888,no,yes,cellular,jul,1,-1,other,0
3433,43,blue-collar,1401,yes,no,unknown,may,2,-1,other,0
145,47,technician,321,yes,yes,unknown,jul,1,-1,other,0
7120,26,self-employed,168,no,no,cellular,apr,1,-1,other,1
2771,24,blue-collar,272,no,no,cellular,nov,2,94,success,1
6018,34,blue-collar,3986,yes,no,cellular,apr,2,-1,other,0
6811,25,technician,800,yes,no,unknown,may,4,-1,other,0
7616,42,blue-collar,108,yes,no,telephone,jul,21,-1,other,0
1958,39,admin,3047,yes,no,cellular,may,1,370,failure,0
2211,27,services,202,yes,no,telephone,jul,2,-1,other,0
2248,56,technician,73,no,no,cellular,aug,4,-1,other,1
5075,27,admin,346,no,no,cellular,oct,1,-1,other,1
762,32,management,597,no,yes,cellular,jul,1,-1,other,0
2522,33,unemployed,1211,no,no,cellular,feb,1,188,success,1
2624,30,management,222,yes,no,cellular,aug,4,-1,other,0
3241,35,technician,33,no,no,cellular,aug,2,-1,other,0
1551,32,services,454,yes,no,cellular,jul,1,-1,other,1
4280,41,self-employed,305,yes,no,cellular,may,2,-1,other,0
6663,34,admin,661,yes,no,cellular,aug,2,183,failure,1
3010,39,management,937,no,no,cellular,apr,4,-1,other,1
1453,50,unemployed,588,no,no,cellular,jul,3,-1,other,0
580,31,technician,465,yes,no,cellular,may,3,-1,other,0
865,48,technician,-938,yes,no,cellular,may,1,344,failure,0
522,48,services,71,no,no,cellular,aug,3,-1,other,0
5186,58,unemployed,1230,no,no,cellular,may,1,87,failure,1
4344,37,blue-collar,3517,yes,no,unknown,may,1,-1,other,0
1824,44,management,126,yes,no,unknown,may,1,-1,other,0
572,33,unemployed,-144,no,no,cellular,jul,3,-1,other,1
3654,41,management,2226,no,no,cellular,aug,2,99,failure,1
2471,53,unemployed,2269,no,no,cellular,nov,2,150,success,1
119,43,management,1336,yes,yes,cellular,may,2,309,failure,0
4593,34,blue-collar,113,yes,no,cellular,may,2,-1,other,0
4578,38,services,196,no,no,cellular,apr,1,-1,other,1
5385,49,services,114,yes,no,unknown,may,2,-1,other,0
7261,33,management,2240,no,no,cellular,mar,2,278,success,1
2953,36,technician,144,no,no,cellular,may,1,308,failure,0
4169,56,technician,3499,yes,no,unknown,may,3,-1,other,0
1600,45,blue-collar,-207,no,no,cellular,jul,2,-1,other,1
2450,36,management,1898,yes,yes,unknown,may,1,-1,other,0
2873,49,services,1830,yes,no,cellular,feb,1,-1,other,1
4991,35,technician,4922,yes,no,cellular,nov,4,201,other,1
5985,34,blue-collar,751,yes,yes,cellular,nov,1,-1,other,1
5693,34,management,1778,no,no,cellular,nov,1,162,failure,1
105,56,entrepreneur,-124,yes,no,unknown,may,5,-1,other,0
1241,53,management,3591,yes,no,cellular,aug,2,181,other,1
3710,37,management,89,yes,no,unknown,may,10,-1,other,0
4586,60,technician,0,no,no,cellular,may,4,-1,other,1
4853,38,technician,69,yes,no,cellular,may,3,-1,other,0
3063,46,management,507,yes,no,cellular,apr,1,-1,other,1
6030,43,admin,388,yes,no,cellular,nov,2,-1,other,0
6578,38,admin,326,yes,no,cellular,apr,2,-1,other,0
7766,44,blue-collar,776,yes,no,unknown,may,1,-1,other,0
4216,40,unemployed,1744,yes,no,unknown,may,11,-1,other,0
6860,85,unemployed,1255,no,no,cellular,jan,3,-1,other,1
1788,42,management,3713,no,no,cellular,nov,2,-1,other,1
2078,25,self-employed,1182,yes,no,unknown,may,2,-1,other,0
6522,40,management,0,yes,no,cellular,mar,2,-1,other,1
2277,43,blue-collar,250,yes,no,cellular,may,5,342,failure,0
2629,45,admin,256,no,no,cellular,nov,2,-1,other,0
7526,33,blue-collar,6138,yes,no,unknown,may,1,-1,other,0
3865,34,services,371,no,no,unknown,may,1,-1,other,0
1938,24,admin,299,yes,no,cellular,may,1,321,failure,0
290,25,blue-collar,97,yes,no,unknown,may,1,-1,other,1
6118,54,unemployed,252,yes,no,cellular,jul,1,-1,other,0
5387,35,management,-196,yes,no,cellular,jul,2,-1,other,0
4051,34,management,158,no,no,cellular,mar,3,181,success,1
5265,72,unemployed,5715,no,no,cellular,may,1,181,success,1
4020,33,admin,7,yes,no,cellular,apr,1,148,failure,0
1251,40,services,1038,no,no,unknown,jun,1,-1,other,0
3040,77,management,1780,yes,no,cellular,apr,2,182,success,1
5495,31,entrepreneur,0,no,no,telephone,nov,1,-1,other,1
